Begin,Time,Batt_Current,Total_Power,3G,LCD,WIFI,CPU_1,CPU_2
0,1458473328590,409,614,0,0,0,69,69
1,1458473329631,0.8039999999999999,697,0,0,0,174,105
4,1458473332586,0.28099999999999997,1452,0,0,0,283,109
5,1458473333588,1111,701,0,0,0,400,117
6,1458473334585,0.39799999999999996,712,0,0,0,512,112
7,1458473335585,0.36,1829,0,0,0,632,120
8,1458473336592,386,1755,0,0,0,755,123
9,1458473337585,413,1096,0,0,0,887,132
10,1458473338595,376,1085,0,0,0,1006,119
11,1458473339589,295,1096,0,0,0,1133,127
12,1458473340588,0.33499999999999996,1078,0,0,0,1257,124
13,1458473341586,292,1095,0,0,0,1372,115
14,1458473342621,316,1087,0,0,0,1491,119
15,1458473343586,308,1088,0,0,0,1613,122
16,1458473344586,0.32799999999999996,1089,0,0,0,1737,124
17,1458473345587,363,1102,0,0,0,1852,115
18,1458473346592,0.33999999999999997,1095,0,0,0,1980,128
19,1458473347595,298,1094,0,0,0,2081,101
20,1458473348588,314,1096,0,0,0,2192,111
21,1458473349588,0.33899999999999997,1091,0,0,0,2299,107
22,1458473350586,299,1087,0,0,0,2414,115
23,1458473351586,345,1085,0,0,0,2521,107
24,1458473352588,361,1086,0,0,0,2634,113
25,1458473353586,0.29,1096,0,0,0,2730,96
26,1458473354589,302,1089,0,0,0,2828,98
27,1458473355586,312,1083,0,0,0,2913,85
28,1458473356590,292,1079,0,0,0,3006,93
29,1458473357619,296,1078,0,0,0,3093,87
30,1458473358590,356,1082,0,0,0,3180,87
31,1458473359591,303,1090,0,0,0,3266,86
32,1458473360586,315,1081,0,0,0,3343,77
33,1458473361587,287,1083,0,0,0,3425,82
34,1458473362585,294,1076,0,0,0,3507,82
35,1458473363589,318,1077,0,0,0,3638,131
36,1458473364589,308,1074,0,0,0,3756,118
37,1458473365587,0.32799999999999996,1077,0,0,0,3866,110
38,1458473366588,283,1074,0,0,0,3994,128
39,1458473367588,286,1069,0,0,0,4107,113
40,1458473368589,442,1073,0,0,0,4233,126
41,1458473369586,306,1088,0,0,0,4362,129
42,1458473370587,0.046479,1089,0,0,0,4488,126
43,1458473371588,0.33299999999999996,1085,0,0,0,4610,122
44,1458473372626,299,1089,0,0,0,4746,136
45,1458473373588,0.32999999999999996,1097,0,0,0,4877,131
46,1458473374586,327,1096,0,0,0,4982,105
47,1458473375586,0.32799999999999996,1088,0,0,0,5109,127
48,1458473376587,321,1088,0,0,0,5233,124
49,1458473377586,309,1089,0,0,0,5352,119
50,1458473378589,0.046487,1089,0,0,0,5444,92
51,1458473379589,294,1089,0,0,0,5563,119
52,1458473380586,0.3,1097,0,0,0,5690,127
53,1458473381589,0.32,1086,0,0,0,5773,83
54,1458473382587,0.3,1090,0,0,0,5869,96
55,1458473383588,314,1089,0,0,0,5982,113
56,1458473384586,59.581188999999995,1096,0,0,0,6093,111
57,1458473385586,307,1084,0,0,0,6213,120
58,1458473386587,303,1099,0,0,0,6320,107
59,1458473387612,285,1802,0,0,0,6432,112
60,1458473388591,366,1107,0,0,0,6531,99
61,1458473389586,0.33899999999999997,1084,0,0,0,6635,104
62,1458473390586,354,1092,0,0,0,6742,107
63,1458473391588,295,1095,0,0,0,6880,138
64,1458473392586,376,1089,0,0,0,7016,136
65,1458473393586,284,1090,0,0,0,7126,110
66,1458473394586,419,1088,0,0,0,7243,117
67,1458473395591,0.34299999999999997,1083,0,0,0,7364,121
68,1458473396586,312,1085,0,0,0,7490,126
69,1458473397586,289,1098,0,0,0,7598,108
70,1458473398591,359,1087,0,0,0,7708,110
71,1458473399588,266,1101,0,0,0,7820,112
72,1458473400586,315,1089,0,0,0,7929,109
73,1458473401593,318,1100,0,0,0,8040,111
74,1458473402634,365,1093,0,0,0,8146,106
75,1458473403586,299,1090,0,0,0,8245,99
76,1458473404589,312,1087,0,0,0,8356,111
77,1458473405586,0.27099999999999996,1090,0,0,0,8449,93
78,1458473406587,374,1090,0,0,0,8546,97
79,1458473407586,316,1084,0,0,0,8646,100
80,1458473408592,0.33299999999999996,1084,0,0,0,8742,96
81,1458473409587,317,1081,0,0,0,8838,96
82,1458473410588,0.32,1083,0,0,0,8935,97
83,1458473411587,303,1086,0,0,0,9033,98
84,1458473412586,314,1083,0,0,0,9128,95
85,1458473413589,292,1087,0,0,0,9216,88
86,1458473414586,323,1093,0,0,0,9328,112
87,1458473415586,296,1087,0,0,0,9459,131
88,1458473416589,301,1091,0,0,0,9569,110
89,1458473417621,0.33099999999999996,1082,0,0,0,9683,114
90,1458473418591,0.33799999999999997,1091,0,0,0,9801,118
91,1458473419598,296,1080,0,0,0,9919,118
92,1458473420587,317,1091,0,0,0,10028,109
93,1458473421588,295,1088,0,0,0,10134,106
94,1458473422588,305,1097,0,0,0,10239,105
95,1458473423591,0.31,1092,0,0,0,10347,108
96,1458473424587,289,1093,0,0,0,10453,106
97,1458473425586,299,1094,0,0,0,10564,111
98,1458473426585,297,1095,0,0,0,10661,97
99,1458473427585,288,1086,0,0,0,10768,107
100,1458473428588,295,1088,0,0,0,10879,111
101,1458473429590,0.33699999999999997,1077,0,0,0,10985,106
102,1458473430588,0.33099999999999996,1081,0,0,0,11094,109
